Name,Perzo Rank,Rank,Site,Perzo Deadline,Deadline,GRE,Part-time,Units,$$/unit,Scholarship,Final Cost
GTech OMCS,1,,https://omscs.gatech.edu/prospective-students/faq,"February 22, 2021","March 1, 2021",no,yes,30,180,0,5400
Rice Summer,,,https://csweb.rice.edu/academics/graduate-programs/online-mcs,"February 22, 2021","March 1, 2021",no,,30,2289,0,68670
Vanderbilt,,,https://engineeringonline.vanderbilt.edu/computer-science/,"March 5, 2021","March 12, 2021",no,,30,2087,30000,32610
Stevens,,8,https://info.online.stevens.edu/online-masters-computer-science-mscs-thank-you/,"March 15, 2021","March 22, 2021",,,,,,0
Baylor,,,https://onlinecs.baylor.edu,"March 22, 2021","March 29, 2021",,,,,,0
Boston University,,8,https://www.bu.edu/met/admissions/apply-now/,"March 25, 2021","April 1, 2021",,,,,,0
UT Austin,2,,https://discover.edx.org/masters/ut-austin-computer-science,"March 25, 2021","April 1, 2021",,,,,,0
ASU/Coursera,3,,https://www.coursera.org/degrees/master-of-computer-science-asu/admissions,"April 12, 2021","April 19, 2021",,,,,,0
SMU,,,https://info.lyleonline.smu.edu/online-master-computer-science-ai-brand,"April 21, 2021","April 28, 2021",,,,,,0
East Carolina,,,https://cet.ecu.edu/csci/graduate-programs/ms-in-computer-science/,"April 28, 2021","May 5, 2021",,,,,,0
Syracuse,,,https://apply.engineeringonline.syr.edu/login,"May 6, 2021","May 13, 2021",,,,,,0
Johns Hopkins,,2,https://ep.jhu.edu/student-services/academic-calendar/,"May 8, 2021","May 15, 2021",,,,,,0
Illinois,,,https://cs.illinois.edu/admissions/graduate/application-deadlines,"May 23, 2021","May 30, 2021",,,,,,0
NJIT,,,https://www.njit.edu/dates-and-deadlines,"May 25, 2021","June 1, 2021",,,,,,0
NSU Florida,,,https://computing.nova.edu/computing/computer-science.html,"June 23, 2021","June 30, 2021",,,,,,0
Drexel,,16,https://duo.online.drexel.edu/computer-science-group/,"June 24, 2021","July 1, 2021",,,,,,0
Rice Fall,,,,"June 24, 2021","July 1, 2021",,,,,,0
DePaul,,,https://www.cdm.depaul.edu/academics/Pages/MS-in-Computer-Science.aspx,"July 25, 2021","August 1, 2021",,,,,,0
USC-Spring2022,,,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-computer-science/,"September 8, 2021","September 15, 2021",,,,,,0
Auburn,,21,,,,,,,,,0
Berkeley MS CYBS,,,,,,,,,,,0
Concordia-Wisconsion,,,https://www.cuw.edu/academics/programs/computer-science-masters/index.html#admissions,,,,,,,,0
Marquette University,,6,,,,,,,,,0
Northeastern,,,https://pages.northeastern.edu,,,,,,,,0
NYU,,11,,,,,,,,,0
UIS,,,https://csc.uis.edu/computer-science-masters-degree,,,,,,,,0
UW MSIM,,,,,,,,,,,0
Virginia Tech,,4,,,,,,,,,0