project,KRs,category,complexity,created,dependencies,objectives,pillars (initiatives),priority,status,target date,timeEffort
Fix Fridge,,Home,,"September 14, 2021 12:24 PM",,,,,done,,
sell cervelo/torelli,,Home,,"September 14, 2021 12:22 PM",,,,,backlog,,
hang bicycle parking sign,,Home,,"October 29, 2021 3:13 PM",,,,,done,,
hang chinese sign,,Home,,"October 29, 2021 3:14 PM",,,,,backlog,,
hang OMW poster,,Home,,"October 29, 2021 3:14 PM",,,,,backlog,,
Organize SB home,,Home,,"October 29, 2021 3:15 PM",,,,,backlog,,
Organize external harddrives,,Home,,"October 29, 2021 3:15 PM",,,,,backlog,,
Baseline Snow White,,Home,,"March 10, 2023 10:26 PM",,,,,done,,
workshop SkiRack,,Home,,"February 10, 2025 2:19 PM",,,,,backlog,,
heat trivet,,Home,,"February 10, 2025 5:24 PM",,,,,backlog,,
Living Room plants,,Home,,"February 10, 2025 5:41 PM",,,,,backlog,,