Key Result,Priority,Status,dynamic timeline,Target Date,KR type,Progress Percentage,projects,pillars (initiatives),objectives,metric/target
YNM/pr - email list CTA,essential,Not started,🟢 this Q1-'25,03/31/2025,effort (rep/push/drive),,,YNM - PR/content+audience/community (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20PR%20content+audience%20community%201b66509554a780f1abc1d00a5fea23f6.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - book proposal,essential,Not started,🟢 this Q1-'25,03/31/2025,hybrid (effort & result),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/s - develop 1st signature talks book 3x,essential,Not started,🟢 this Q1-'25,03/31/2025,hybrid (effort & result),,,YNM - speaking & live engagements (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20speaking%20&%20live%20engagements%201b66509554a7802bbe37d3879ba5dfc9.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - raw material,essential,In progress,🟢 this Q1-'25,03/31/2025,hybrid (effort & result),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
bizNaz - read Henry Shi’s AI doc,essential,Not started,🔵 this Q2-'25,04/15/2025,,,,,,
bizNaz - try 10 prototypes,essential,Not started,🔵 this Q2-'25,04/15/2025,,,,,,
bizNaz - apply to 10 jobs,essential,In progress,🔵 this Q2-'25,04/15/2025,,,,,,
bizNaz - pitch 10 clients,essential,Not started,🔵 this Q2-'25,04/15/2025,,,,,,
bizNaz - advise Leo,reach,Not started,🔵 this Q2-'25,04/30/2025,,,,,,
bizNaz - define investor thesis,supporting,Not started,🔵 this Q2-'25,04/30/2025,,,,,,
lifeZtyle - 35th BoCo bday,essential,Not started,🔵 this Q2-'25,04/30/2025,,,,,,
lifeZtyle 35th SB birthday,essential,Not started,🔵 this Q2-'25,05/31/2025,,,,,,
bizNaz - get onto Invisible cap table,reach,Not started,🔵 this Q2-'25,06/30/2025,,,,bizNaz - Investing & Wealth-Building (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Investing%20&%20Wealth-Building%201bb6509554a7801dafddef8778e35de2.md),,
bizNaz - get onto offsite captable,reach,Not started,🔵 this Q2-'25,06/30/2025,,,,bizNaz - Investing & Wealth-Building (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Investing%20&%20Wealth-Building%201bb6509554a7801dafddef8778e35de2.md),,
bizNaz - scrum master,supporting,Not started,🔵 this Q2-'25,06/30/2025,,,,bizNaz - Continuing Education & Biz Credentials (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Continuing%20Education%20&%20Biz%20Credentials%201bb6509554a78070907cf48ce11475ea.md),,
bizNaz - cert product owner,supporting,Not started,🔵 this Q2-'25,06/30/2025,,,,bizNaz - Continuing Education & Biz Credentials (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Continuing%20Education%20&%20Biz%20Credentials%201bb6509554a78070907cf48ce11475ea.md),,
bizNaz - capm,supporting,Not started,🔵 this Q2-'25,06/30/2025,,,,bizNaz - Continuing Education & Biz Credentials (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Continuing%20Education%20&%20Biz%20Credentials%201bb6509554a78070907cf48ce11475ea.md),bizNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/bizNaz%201b66509554a7804eb582f48acd60fda0.md),
YNM/pr - 10-30 pitches → 3-7 features,essential,Not started,🔵 this Q2-'25,06/30/2025,hybrid (effort & result),,,YNM - PR/content+audience/community (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20PR%20content+audience%20community%201b66509554a780f1abc1d00a5fea23f6.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/pr - audience targets 500-1000,essential,Not started,🔵 this Q2-'25,06/30/2025,result (milestone/achievement),,,YNM - PR/content+audience/community (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20PR%20content+audience%20community%201b66509554a780f1abc1d00a5fea23f6.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/co - weekly newsletter,reach,Not started,🔵 this Q2-'25,06/30/2025,effort (rep/push/drive),,,YNM - PR/content+audience/community (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20PR%20content+audience%20community%201b66509554a780f1abc1d00a5fea23f6.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/co - 3/4/w→12-16/mo→30-45/qr social posts,essential,Not started,🔵 this Q2-'25,06/30/2025,effort (rep/push/drive),,,YNM - PR/content+audience/community (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20PR%20content+audience%20community%201b66509554a780f1abc1d00a5fea23f6.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/co - 10-12 high quality insights,essential,Not started,🔵 this Q2-'25,06/30/2025,effort (rep/push/drive),,,YNM - PR/content+audience/community (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20PR%20content+audience%20community%201b66509554a780f1abc1d00a5fea23f6.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/s - apply to 10 TEDx talks + q3 major events/keynotes,essential,Not started,🔵 this Q2-'25,06/30/2025,hybrid (effort & result),,,YNM - speaking & live engagements (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20speaking%20&%20live%20engagements%201b66509554a7802bbe37d3879ba5dfc9.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - 1st draft,essential,Not started,🔵 this Q2-'25,06/30/2025,hybrid (effort & result),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - revised draft,essential,Not started,🟠 this Q3-'25,07/31/2025,hybrid (effort & result),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - external editing,essential,Not started,🟠 this Q3-'25,08/31/2025,hybrid (effort & result),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
bizNaz - AWS DA,core,Not started,🟠 this Q3-'25,09/30/2025,,,,bizNaz - Continuing Education & Biz Credentials (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Continuing%20Education%20&%20Biz%20Credentials%201bb6509554a78070907cf48ce11475ea.md),,
bizNaz - AWS SA,core,Not started,🟠 this Q3-'25,09/30/2025,,,,bizNaz - Continuing Education & Biz Credentials (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/bizNaz%20-%20Continuing%20Education%20&%20Biz%20Credentials%201bb6509554a78070907cf48ce11475ea.md),,
YNM/w - manuscript,essential,Not started,🟠 this Q3-'25,09/30/2025,hybrid (effort & result),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - self publish ready,essential,Not started,🟣 this Q4-'25,10/31/2025,result (milestone/achievement),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - launch/rollout,essential,Not started,🟥 next Q1-'26,01/15/2026,effort (rep/push/drive),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
YNM/w - 50k sales post launch,essential,Not started,🟨 next Q2-'26,06/15/2026,result (milestone/achievement),,,YNM - publish YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/pillars%20(initiatives)%2019b6509554a7801c9220f481d5371bf7/YNM%20-%20publish%20YNM%201b66509554a780cd91a2f3c29e7c8a28.md),YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),
lifeZtyle - 36th big birthday,,Not started,NO TARGET!!,,,,,,,
lifeZtyle - host sillyHatParty,,Not started,NO TARGET!!,,,,,,,