lighthouse,objectives,timeline,Target Date
cull 30-50% of items,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📍 This Year,2025/08/31
longs peak duathlon,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📍 This Year,2025/09/30
finish boulder rides,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📍 This Year,2025/10/15
bierstatd duathlon,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📍 This Year,2025/10/31
badwater classic,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📍 This Year,2025/11/01
restore Alan Shorter,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📍 This Year,2025/12/15
UC Berkeley lecture,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),📍 This Year,2025/12/31
publish YNM,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),📈 1–3 Years,2026/01/15
35th birthday,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📈 1–3 Years,2026/05/01
six pack,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📈 1–3 Years,2026/06/15
half ironman,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📈 1–3 Years,2026/06/15
win a moth story slam,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),📈 1–3 Years,2026/12/31
HSK 5,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),📈 1–3 Years,2026/12/31
cycle Uzbekistan,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📈 1–3 Years,2027/05/31
spanish fluency,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),📈 1–3 Years,2027/12/31
UC Berkeley graduation speech,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),📈 1–3 Years,2027/12/31
buy in Ericeira,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📈 1–3 Years,2027/12/31
give a moth mainstage,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),📈 1–3 Years,2027/12/31
surf 25ft,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📈 1–3 Years,2027/12/31
indonesian fluency,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2028/12/31
portuguese fluency,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2028/12/31
russian fluency,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2028/12/31
full ironman,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),🏔 3–5 Years,2029/06/15
Palms to Pines,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),🏔 3–5 Years,2029/12/31
500 hrs volunteering,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🏔 3–5 Years,2029/12/31
HSK 6,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2029/12/31
win a moth grand slam,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2029/12/31
live abroad,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🏔 3–5 Years,2029/12/31
cycle US,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🏔 3–5 Years,2029/12/31
10 million networth,bizNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/bizNaz%201b66509554a7804eb582f48acd60fda0.md),🏔 3–5 Years,2029/12/31
give TED talk,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),🏔 3–5 Years,2029/12/31
cycle PNW-SoCal,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🪜 5–10 Years,2034/12/31
overland Africa,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🪜 5–10 Years,2034/12/31
overland Americas,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🪜 5–10 Years,2034/12/31
PCT,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🌌 10+ / Lifetime,2039/12/31
US-China ambassador,bizNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/bizNaz%201b66509554a7804eb582f48acd60fda0.md),🌌 10+ / Lifetime,2039/12/31